iter	Logloss
0	0.6831625879
1	0.6727697805
2	0.6619393452
3	0.6507367316
4	0.6384200879
5	0.6276983854
6	0.6177500939
7	0.6087452385
8	0.5988280368
9	0.5884829563
10	0.5790924993
11	0.5679546842
12	0.5591217141
13	0.549982111
14	0.5419302954
15	0.5343014138
16	0.5262973834
17	0.5176107249
18	0.5095477712
19	0.5007209013
20	0.4932750566
21	0.486397141
22	0.4789998037
23	0.470735025
24	0.4631463299
25	0.4565807692
26	0.4507808988
27	0.4440904347
28	0.4369664786
29	0.4303746662
30	0.4248620941
31	0.4180569046
32	0.4119720101
33	0.4067588569
34	0.4009420031
35	0.3954907807
36	0.3905639658
37	0.3850501597
38	0.3801756024
39	0.3741751319
40	0.3695898111
41	0.3655796995
42	0.3603132291
43	0.3562576442
44	0.3516885746
45	0.3471075003
46	0.3430130185
47	0.3388674903
48	0.3342950885
49	0.3300517609
50	0.3254509598
51	0.3216620065
52	0.3187742976
53	0.3146600058
54	0.3109475975
55	0.3066017901
56	0.3031655553
57	0.2998220561
58	0.2967074324
59	0.2938668725
60	0.2910771853
61	0.2877751558
62	0.284880896
63	0.2814028247
64	0.2771806143
65	0.2737401898
66	0.2704727988
67	0.2670188588
68	0.2639254286
69	0.260832733
70	0.2578492768
71	0.2557245405
72	0.2527140916
73	0.2509345706
74	0.2482558963
75	0.2461367575
76	0.2440804216
77	0.2409308583
78	0.2387329741
79	0.2362198836
80	0.2339245374
81	0.2312356067
82	0.2280833363
83	0.2262614723
84	0.2246335042
85	0.2225760573
86	0.2209228243
87	0.2190135487
88	0.2168505839
89	0.2144461283
90	0.2124352906
91	0.210736018
92	0.2087425148
93	0.2066206421
94	0.2046041107
95	0.203280016
96	0.201355971
97	0.1991753931
98	0.1970333299
99	0.1956854004
100	0.194249157
101	0.1924017131
102	0.1910075745
103	0.1895293359
104	0.1876760205
105	0.1864186734
106	0.1852537765
107	0.1839831225
108	0.1822832735
109	0.1804781725
110	0.1789795161
111	0.1766295571
112	0.1753641706
113	0.1736613507
114	0.1721706354
115	0.1708763725
116	0.169883016
117	0.1684875285
118	0.1675041971
119	0.1661537252
120	0.1651133281
121	0.1639859475
122	0.1624649388
123	0.1608604515
124	0.1600753328
125	0.1591251779
126	0.1578066976
127	0.1566989375
128	0.1553528263
129	0.1545727458
130	0.1536074546
131	0.1523221711
132	0.1511267011
133	0.1504243698
134	0.1494537632
135	0.1480152894
136	0.1467703088
137	0.1458026503
138	0.144818834
139	0.1439207036
140	0.1426477392
141	0.1414826444
142	0.1409250157
143	0.1399588469
144	0.1393028206
145	0.1381356123
146	0.1370784487
147	0.1360682909
148	0.1353054117
149	0.1343100587
150	0.1334565632
151	0.132482056
152	0.1311043035
153	0.1302260111
154	0.1295296596
155	0.1285129493
156	0.1275522375
157	0.1269477137
158	0.1264362338
159	0.1258625079
160	0.1244452891
161	0.1240587785
162	0.123009144
163	0.122387374
164	0.1218439889
165	0.1213663864
166	0.1204952881
167	0.1198600534
168	0.1184979453
169	0.1176474295
170	0.1173136499
171	0.1167914102
172	0.1159338467
173	0.1149906747
174	0.1141265284
175	0.1132380014
176	0.1124477567
177	0.1115236405
178	0.1106797169
179	0.110184209
180	0.1099138888
181	0.1093833885
182	0.1082549459
183	0.1075260835
184	0.1065403441
185	0.1057230492
186	0.1049958231
187	0.1042174537
188	0.1033297115
189	0.1025657352
190	0.1023206236
191	0.1016656715
192	0.1011199819
193	0.1004482328
194	0.09986858153
195	0.09926847431
196	0.09887635981
197	0.09818495298
198	0.09738486907
199	0.09673235001
200	0.09621356705
201	0.09577646753
202	0.09524303138
203	0.09483097493
204	0.09426179154
205	0.09355298132
206	0.09313790689
207	0.09277916436
208	0.09235146666
209	0.09179106875
210	0.09125424917
211	0.0904577744
212	0.09029118141
213	0.08986591158
214	0.08916491065
215	0.08828761078
216	0.08748762795
217	0.08716795342
218	0.08688457731
219	0.08649093967
220	0.0861964992
221	0.08551040058
222	0.08495813353
223	0.08434569526
224	0.08396729531
225	0.08354287976
226	0.08299332296
227	0.08267258593
228	0.08239339276
229	0.08167548373
230	0.08137319804
231	0.08104869682
232	0.08068449854
233	0.08036818441
234	0.08006943651
235	0.07970966576
236	0.07942098945
237	0.07916503347
238	0.07891224901
239	0.07849343016
240	0.07822308702
241	0.07783879834
242	0.07735755215
243	0.07683256132
244	0.07643375338
245	0.07619988137
246	0.07550576006
247	0.07523717088
248	0.07482888972
249	0.0745039876
250	0.07408443351
251	0.07374288729
252	0.073458269
253	0.07300584379
254	0.07253311349
255	0.07186077781
256	0.071520673
257	0.0712695802
258	0.07076212369
259	0.07049858675
260	0.07009417926
261	0.06960149355
262	0.0693207631
263	0.06899206732
264	0.06850459076
265	0.06818215598
266	0.06802662074
267	0.06782275239
268	0.06755427532
269	0.06733672291
270	0.06712372897
271	0.06690475028
272	0.06640427776
273	0.06602418145
274	0.06574529493
275	0.06516185234
276	0.06487706382
277	0.06458227354
278	0.06441063252
279	0.06409087533
280	0.06396210718
281	0.06357779943
282	0.06310650928
283	0.06283840741
284	0.06267968604
285	0.0623563288
286	0.06188873584
287	0.06147600094
288	0.06127796504
289	0.06096069229
290	0.06062215319
291	0.06032900201
292	0.06002084686
293	0.05982423654
294	0.05967260523
295	0.05952407366
296	0.05935877125
297	0.05898754751
298	0.05881194374
299	0.05853506953
300	0.05819879317
301	0.05776760059
302	0.05749164548
303	0.0572939152
304	0.05698383958
305	0.05657730355
306	0.05632617175
307	0.05618779718
308	0.05599299424
309	0.05565617571
310	0.0555355294
311	0.05523749023
312	0.05484840715
313	0.05457212491
314	0.0543709967
315	0.05402983602
316	0.05366618664
317	0.05350464173
318	0.05324511944
319	0.05308532801
320	0.05273397934
321	0.05244554636
322	0.05220778947
323	0.05188484261
324	0.0515926347
325	0.05144269625
326	0.05132114552
327	0.05115402495
328	0.0510249415
329	0.05083877835
330	0.05062051491
331	0.05037358482
332	0.05011095219
333	0.05000078333
334	0.04972928447
335	0.04936956604
336	0.04913003653
337	0.04889591053
338	0.04853047197
339	0.04832305502
340	0.04821183634
341	0.04810068874
342	0.04793648649
343	0.04779524776
344	0.04769138181
345	0.04754467797
346	0.04725210715
347	0.04711947753
348	0.04700104648
349	0.0468611585
350	0.04664712439
351	0.04654174979
352	0.04650712387
353	0.04618785523
354	0.04589785906
355	0.04558690773
356	0.04543559628
357	0.04531846686
358	0.04514592223
359	0.04493843444
360	0.04476157136
361	0.04446934816
362	0.04420061708
363	0.04411379421
364	0.04393752982
365	0.04379601811
366	0.04357180078
367	0.0432921577
368	0.04300950039
369	0.04283211924
370	0.04265589564
371	0.04255644105
372	0.04240906322
373	0.0421866476
374	0.04192399601
375	0.04169949228
376	0.04160852648
377	0.04144341307
378	0.04135560303
379	0.04126851521
380	0.04119185395
381	0.04101892997
382	0.04093497391
383	0.04078022749
384	0.04054202981
385	0.04039860443
386	0.04012870728
387	0.03988400156
388	0.0397159741
389	0.03961888002
390	0.03943779622
391	0.03929199606
392	0.03905954267
393	0.03892897389
394	0.03882772029
395	0.03867326675
396	0.03859118803
397	0.03848845509
398	0.03840884723
399	0.03817806516
400	0.03806456992
401	0.03797635932
402	0.03789630977
403	0.03769641602
404	0.03760805787
405	0.03752965653
406	0.03735181133
407	0.03713943942
408	0.03704331229
409	0.0368658825
410	0.03664677025
411	0.03650718631
412	0.03632403
413	0.03610112211
414	0.03592861866
415	0.03582310786
416	0.03562507229
417	0.03551690295
418	0.03542707554
419	0.03520690997
420	0.03513124087
421	0.0350182414
422	0.0347925609
423	0.03467162495
424	0.03454154025
