iter	Passed	Remaining
0	3	3174
1	6	3059
2	8	2684
3	11	2945
4	13	2777
5	15	2637
6	17	2506
7	19	2474
8	21	2418
9	24	2400
10	27	2459
11	29	2449
12	31	2405
13	34	2437
14	36	2401
15	38	2364
16	41	2385
17	43	2364
18	45	2371
19	48	2375
20	50	2353
21	52	2343
22	55	2368
23	58	2365
24	61	2411
25	64	2404
26	68	2459
27	70	2436
28	72	2411
29	74	2422
30	76	2406
31	79	2394
32	82	2418
33	87	2474
34	89	2459
35	91	2438
36	93	2426
37	96	2433
38	97	2404
39	99	2391
40	101	2384
41	105	2408
42	107	2385
43	109	2379
44	111	2367
45	114	2371
46	116	2353
47	118	2346
48	122	2373
49	125	2391
50	128	2387
51	130	2376
52	132	2370
53	134	2359
54	136	2347
55	138	2337
56	140	2327
57	142	2321
58	145	2317
59	147	2308
60	149	2302
61	151	2289
62	154	2296
63	157	2306
64	160	2307
65	162	2299
66	164	2287
67	166	2280
68	169	2281
69	171	2273
70	173	2266
71	175	2265
72	177	2259
73	179	2252
74	181	2243
75	183	2235
76	185	2226
77	187	2219
78	189	2210
79	191	2201
80	193	2191
81	195	2189
82	197	2182
83	199	2177
84	201	2173
85	203	2165
86	205	2160
87	207	2152
88	210	2150
89	213	2156
90	216	2167
91	219	2161
92	221	2156
93	224	2159
94	226	2153
95	229	2158
96	231	2154
97	234	2155
98	236	2150
99	237	2141
100	239	2134
101	241	2127
102	243	2122
103	245	2114
104	247	2109
105	249	2106
106	252	2104
107	254	2104
108	257	2100
109	258	2093
110	260	2088
111	262	2084
112	264	2079
113	266	2072
114	268	2068
115	270	2062
116	272	2058
117	274	2053
118	277	2053
119	279	2048
120	281	2043
121	283	2040
122	285	2035
123	287	2033
124	289	2029
125	292	2026
126	295	2028
127	297	2029
128	299	2025
129	302	2022
130	304	2019
131	306	2016
132	308	2011
133	311	2013
134	313	2008
135	315	2006
136	318	2009
137	330	2065
138	335	2075
139	339	2083
140	341	2078
141	343	2074
142	345	2069
143	347	2064
144	349	2060
145	351	2058
146	354	2055
147	356	2051
148	360	2060
149	366	2079
150	369	2075
151	371	2072
152	376	2083
153	378	2077
154	380	2074
155	382	2069
156	384	2063
157	387	2063
158	392	2073
159	396	2080
160	398	2074
161	401	2075
162	403	2069
163	405	2066
164	407	2064
165	410	2061
166	413	2062
167	415	2057
168	417	2053
169	419	2049
170	421	2044
171	423	2039
172	425	2033
173	428	2031
174	430	2027
175	433	2030
176	435	2026
177	438	2025
178	441	2023
179	443	2018
180	445	2013
181	447	2010
182	449	2004
183	450	1999
184	452	1994
185	455	1993
186	457	1988
187	459	1985
188	461	1981
189	463	1976
190	466	1974
191	468	1969
192	470	1967
193	472	1962
194	474	1959
195	476	1955
196	479	1952
197	481	1951
198	483	1946
199	485	1943
200	488	1940
201	490	1937
202	492	1933
203	494	1931
204	496	1927
205	499	1924
206	501	1922
207	504	1922
208	506	1918
209	509	1915
210	510	1910
211	512	1906
212	515	1903
213	516	1898
214	519	1896
215	522	1894
216	525	1896
217	527	1893
218	529	1889
219	531	1885
220	533	1882
221	536	1878
222	538	1875
223	540	1874
224	544	1876
225	547	1874
226	549	1870
227	551	1866
228	553	1862
229	555	1859
230	558	1858
231	561	1857
232	563	1853
233	565	1849
234	567	1845
235	568	1841
236	570	1837
237	572	1834
238	575	1831
239	577	1827
240	579	1824
241	581	1820
242	584	1819
243	586	1816
244	588	1813
245	590	1809
246	592	1806
247	594	1802
248	596	1799
249	599	1799
250	601	1795
251	604	1793
252	606	1789
253	608	1786
254	610	1782
255	612	1778
256	614	1777
257	617	1774
258	620	1774
259	622	1771
260	624	1767
261	625	1762
262	628	1761
263	630	1757
264	632	1753
265	634	1750
266	637	1750
267	639	1747
268	643	1748
269	646	1747
270	648	1744
271	650	1739
272	652	1736
273	654	1732
274	656	1732
275	658	1728
276	660	1725
277	663	1723
278	665	1719
279	667	1715
280	669	1713
281	672	1711
282	675	1710
283	677	1707
284	679	1703
285	682	1704
286	684	1700
287	686	1697
288	688	1694
289	690	1690
290	692	1687
291	694	1684
292	696	1681
293	698	1677
294	700	1674
295	703	1672
296	704	1668
297	707	1666
298	710	1664
299	712	1661
300	713	1657
301	715	1654
302	717	1651
303	719	1648
304	721	1644
305	723	1641
306	725	1637
307	727	1634
308	729	1630
309	731	1627
310	732	1623
311	734	1619
312	736	1616
313	738	1613
314	740	1610
315	742	1607
316	744	1604
317	748	1605
318	751	1604
319	754	1602
320	757	1601
321	759	1598
322	761	1595
323	763	1593
324	766	1591
325	768	1589
326	771	1588
327	775	1587
328	779	1589
329	781	1586
